kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.2.sm_86.ptx 159 : 22176 169568 0 0 0 0 0 0 0 
test.3.sm_86.ptx 158 : 32768 295040 0 0 0 0 0 0 0 
test.2.sm_86.ptx 158 : 22176 166912 0 0 0 0 0 0 0 
test.3.sm_86.ptx 157 : 32768 196896 0 0 0 0 0 0 0 
test.2.sm_86.ptx 157 : 22176 177440 0 0 0 0 0 0 0 
test.3.sm_86.ptx 156 : 32768 300672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 155 : 32768 196704 0 0 0 0 0 0 0 
test.3.sm_86.ptx 154 : 32768 493184 0 0 0 0 0 0 0 
test.2.sm_86.ptx 154 : 21792 10365184 71552 0 0 2724 681 0 0 
test.3.sm_86.ptx 153 : 32768 2465248 0 0 0 0 0 0 0 
test.2.sm_86.ptx 153 : 21792 227520 0 0 0 0 0 0 0 
test.3.sm_86.ptx 152 : 32768 21602784 0 0 0 16384 1024 0 0 
test.2.sm_86.ptx 152 : 21792 166432 0 0 0 0 0 0 0 
test.3.sm_86.ptx 151 : 32768 295136 0 0 0 0 0 0 0 
test.2.sm_86.ptx 151 : 21792 229824 0 0 0 0 0 0 0 
test.3.sm_86.ptx 150 : 32768 19969280 0 0 0 16384 1024 0 0 
test.2.sm_86.ptx 150 : 21792 165376 0 0 0 0 0 0 0 
test.3.sm_86.ptx 149 : 32768 300512 0 0 0 0 0 0 0 
test.2.sm_86.ptx 149 : 21792 238144 0 0 0 0 0 0 0 
test.3.sm_86.ptx 148 : 32768 197888 0 0 0 0 0 0 0 
test.2.sm_86.ptx 148 : 21792 232832 0 0 0 0 0 0 0 
test.3.sm_86.ptx 101 : 8192 84224 0 0 0 0 0 0 0 
test.2.sm_86.ptx 101 : 262144 21820896 0 0 0 8192 8192 0 0 
test.3.sm_86.ptx 266 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 99 : 8192 0 0 0 0 0 0 0 0 
test.2.sm_86.ptx 99 : 262144 2779712 0 0 0 0 0 0 0 
test.3.sm_86.ptx 265 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 98 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 98 : 262144 2078176 0 0 0 0 0 0 0 
test.3.sm_86.ptx 264 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 97 : 8192 49152 0 0 0 0 0 0 0 
